AC   MIPF0000001
ID   mir-1
MI   MI0018841  aca-mir-29a-2
MI   MI0018842  aca-mir-29b-1
MI   MI0018843  aca-mir-29b-2
MI   MI0018844  aca-mir-301a
MI   MI0018845  aca-mir-301b
MI   MI0018846  aca-mir-302b
MI   MI0018847  aca-mir-30a
MI   MI0018848  aca-mir-30b
MI   MI0018849  aca-mir-30c
MI   MI0018850  aca-mir-30d
MI   MI0018851  aca-mir-30e
MI   MI0018852  aca-mir-31
MI   MI0018854  aca-mir-33-1
MI   MI0018855  aca-mir-33-2
MI   MI0018856  aca-mir-338
MI   MI0018857  aca-mir-34a
MI   MI0018858  aca-mir-34b
MI   MI0018859  aca-mir-34c
MI   MI0018860  aca-mir-363
MI   MI0018862  aca-mir-367
MI   MI0018866  aca-mir-429
MI   MI0018867  aca-mir-449a
MI   MI0018868  aca-mir-449b
MI   MI0018905  aca-mir-449c
MI   MI0018870  aca-mir-454
MI   MI0018873  aca-mir-457
MI   MI0018878  aca-mir-490
MI   MI0018941  aca-mir-5438
MI   MI0018942  aca-mir-5439
MI   MI0018955  aca-mir-5451
MI   MI0018956  aca-mir-5452
MI   MI0018882  aca-mir-7-1
MI   MI0018883  aca-mir-7-2
MI   MI0018884  aca-mir-7-3
MI   MI0018887  aca-mir-875
MI   MI0018888  aca-mir-9-1
MI   MI0018889  aca-mir-9-2
MI   MI0018890  aca-mir-9-3
MI   MI0018891  aca-mir-92a-1
MI   MI0018892  aca-mir-92a-2
MI   MI0018893  aca-mir-98
MI   MI0018894  aca-mir-99a
MI   MI0018895  aca-mir-99b
MI   MIMAT0001494  aga-bantam
MI   MIMAT0001495  aga-let-7
MI   MI0001601  aga-mir-1
MI   MI0001602  aga-mir-10
MI   MI0001603  aga-mir-100
MI   MI0006238  aga-mir-1175
MI   MI0001604  aga-mir-124
MI   MI0001605  aga-mir-125
MI   MI0001606  aga-mir-133
MI   MI0010601  aga-mir-137
MI   MI0001607  aga-mir-13b
MI   MI0001609  aga-mir-184
MI   MI0010594  aga-mir-190
MI   MI0001621  aga-mir-2-1
MI   MI0001622  aga-mir-2-2
MI   MI0001610  aga-mir-210
MI   MI0001611  aga-mir-219
MI   MI0001612  aga-mir-263a
MI   MI0010606  aga-mir-263b
MI   MI0001615  aga-mir-277
MI   MI0001616  aga-mir-278
MI   MI0001617  aga-mir-279
MI   MI0001618  aga-mir-281
MI   MI0001620  aga-mir-283
MI   MI0010605  aga-mir-286
MI   MI0006243  aga-mir-306
MI   MI0001624  aga-mir-307
MI   MI0010607  aga-mir-309
MI   MI0001627  aga-mir-317
MI   MI0006239  aga-mir-34
MI   MI0001628  aga-mir-7
MI   MI0001629  aga-mir-79
MI   MI0001630  aga-mir-8
MI   MI0008308  aga-mir-87
MI   MI0010595  aga-mir-929
MI   MI0001632  aga-mir-92a
MI   MI0001633  aga-mir-92b
MI   MI0010600  aga-mir-957
MI   MI0010599  aga-mir-970
MI   MI0006242  aga-mir-989
MI   MI0010597  aga-mir-993
MI   MI0006241  aga-mir-996
MI   MI0001631  aga-mir-9a
MI   MI0001634  aga-mir-9b
MI   MI0001635  aga-mir-9c
MI   MI0002710  age-mir-100
MI   MI0002719  age-mir-101
MI   MI0002738  age-mir-103
MI   MI0003099  age-mir-106a
MI   MI0003062  age-mir-106b
MI   MI0002791  age-mir-10a
MI   MI0002762  age-mir-124a
MI   MI0002510  age-mir-125b-1
MI   MI0002575  age-mir-125b-2
MI   MI0002529  age-mir-133a
MI   MI0002538  age-mir-135-1
MI   MI0002545  age-mir-135-2
MI   MI0002945  age-mir-15a
MI   MI0002492  age-mir-15b
MI   MI0002946  age-mir-16
MI   MI0002977  age-mir-17
MI   MI0002978  age-mir-18
MI   MI0003034  age-mir-194
MI   MI0002979  age-mir-19a
MI   MI0002981  age-mir-19b-1
MI   MI0003100  age-mir-19b-2
MI   MI0002980  age-mir-20
MI   MI0002869  age-mir-218
MI   MI0002628  age-mir-22
MI   MI0003038  age-mir-23a
MI   MI0003039  age-mir-27a
MI   MI0002658  age-mir-29a
MI   MI0002730  age-mir-29b
MI   MI0002507  age-mir-30b
MI   MI0002797  age-mir-34a
MI   MI0006585  age-mir-506
MI   MI0006586  age-mir-507
MI   MI0006587  age-mir-508
MI   MI0006588  age-mir-509a
MI   MI0006589  age-mir-509b
MI   MI0006590  age-mir-510
MI   MI0006593  age-mir-513a-1
MI   MI0006596  age-mir-513a-2
MI   MI0006591  age-mir-513b
MI   MI0006592  age-mir-513c-1
MI   MI0006597  age-mir-513c-2
MI   MI0006594  age-mir-513d
MI   MI0006650  age-mir-513e-1
MI   MI0006595  age-mir-513e-2
MI   MI0006598  age-mir-514
MI   MI0002573  age-mir-9
MI   MI0002982  age-mir-92-1
MI   MI0003101  age-mir-92-2
MI   MI0003063  age-mir-93
MI   MI0002700  age-mir-98
MI   MI0015332  ahy-MIR156a
MI   MI0015333  ahy-MIR156b
MI   MI0015334  ahy-MIR156c
MI   MI0015335  ahy-MIR159
MI   MI0015336  ahy-MIR160
MI   MI0015337  ahy-MIR167
MI   MI0015341  ahy-MIR3508
MI   MI0015347  ahy-MIR3514
MI   MI0015348  ahy-MIR3515
MI   MI0015338  ahy-MIR394
MI   MI0015339  ahy-MIR398
MI   MI0015340  ahy-MIR408
MI   MIMAT0031151  aja-let-7i
MI   MI0024358  aja-mir-142
MI   MI0024359  aja-mir-144
MI   MI0024363  aja-mir-22
MI   MI0024364  aja-mir-25
MI   MI0024357  aja-mir-29b
MI   MI0024371  aja-mir-29c
MI   MI0024356  aja-mir-3596
MI   MI0024365  aja-mir-7
MI   MI0014502  aly-MIR156a
MI   MI0014503  aly-MIR156b
MI   MI0014504  aly-MIR156c
MI   MI0014505  aly-MIR156d
MI   MI0014506  aly-MIR156e
MI   MI0014507  aly-MIR156f
MI   MI0014508  aly-MIR156g
MI   MI0014509  aly-MIR156h
MI   MI0014510  aly-MIR157a
MI   MI0014511  aly-MIR157b
MI   MI0014512  aly-MIR157c
MI   MI0014513  aly-MIR157d
MI   MI0014515  aly-MIR159a
MI   MI0014516  aly-MIR159b
MI   MI0014517  aly-MIR159c
MI   MI0014521  aly-MIR160a
MI   MI0014522  aly-MIR160b
MI   MI0014523  aly-MIR160c
MI   MI0014525  aly-MIR162a
MI   MI0014526  aly-MIR162b
MI   MI0014527  aly-MIR164a
MI   MI0014528  aly-MIR164b
MI   MI0014529  aly-MIR164c
MI   MI0014530  aly-MIR165a
MI   MI0014531  aly-MIR165b
MI   MI0014532  aly-MIR166a
MI   MI0014533  aly-MIR166b
MI   MI0014534  aly-MIR166c
MI   MI0014535  aly-MIR166d
MI   MI0014536  aly-MIR166e
MI   MI0014537  aly-MIR166f
MI   MI0014538  aly-MIR166g
MI   MI0026012  aly-MIR166h
MI   MI0014539  aly-MIR167a
MI   MI0014540  aly-MIR167b
MI   MI0014541  aly-MIR167c
MI   MI0014542  aly-MIR167d
MI   MI0014543  aly-MIR168a
MI   MI0014544  aly-MIR168b
MI   MI0014545  aly-MIR169a
MI   MI0014546  aly-MIR169b
MI   MI0014547  aly-MIR169c
MI   MI0014548  aly-MIR169d
MI   MI0014549  aly-MIR169e
MI   MI0014550  aly-MIR169f
MI   MI0014551  aly-MIR169g
MI   MI0014552  aly-MIR169h
MI   MI0014553  aly-MIR169i
MI   MI0014554  aly-MIR169j
MI   MI0014555  aly-MIR169k
MI   MI0014556  aly-MIR169l
MI   MI0014557  aly-MIR169m
MI   MI0014558  aly-MIR169n
MI   MI0014559  aly-MIR170
MI   MI0014560  aly-MIR171a
MI   MI0014561  aly-MIR171b
MI   MI0014562  aly-MIR171c
MI   MI0014563  aly-MIR172a
MI   MI0014564  aly-MIR172b
MI   MI0014565  aly-MIR172c
MI   MI0014566  aly-MIR172d
MI   MI0014567  aly-MIR172e
MI   MI0026011  aly-MIR172f
MI   MI0014630  aly-MIR2111a
MI   MI0014631  aly-MIR2111b
MI   MI0026013  aly-MIR2111c
MI   MI0014518  aly-MIR319a
MI   MI0014519  aly-MIR319b
MI   MI0014520  aly-MIR319c
MI   MI0014633  aly-MIR319d
MI   MI0014654  aly-MIR3438
MI   MI0014656  aly-MIR3440
MI   MI0014658  aly-MIR3442
MI   MI0014665  aly-MIR3449
MI   MI0014569  aly-MIR390a
MI   MI0014570  aly-MIR390b
MI   MI0014571  aly-MIR391
MI   MI0014572  aly-MIR393a
MI   MI0014573  aly-MIR393b
MI   MI0014574  aly-MIR394a
MI   MI0014575  aly-MIR394b
MI   MI0014576  aly-MIR395b
MI   MI0014577  aly-MIR395c
MI   MI0014578  aly-MIR395d
MI   MI0014579  aly-MIR395e
MI   MI0014580  aly-MIR395f
MI   MI0014634  aly-MIR395g
MI   MI0014635  aly-MIR395h
MI   MI0015778  aly-MIR395i
MI   MI0014581  aly-MIR396a
MI   MI0014582  aly-MIR396b
MI   MI0014583  aly-MIR397a
MI   MI0014584  aly-MIR397b
MI   MI0014585  aly-MIR398a
MI   MI0014586  aly-MIR398b
MI   MI0014587  aly-MIR398c
MI   MI0014588  aly-MIR399a
MI   MI0014589  aly-MIR399b
MI   MI0014590  aly-MIR399c
MI   MI0014591  aly-MIR399d
MI   MI0014592  aly-MIR399e
MI   MI0014593  aly-MIR399f
MI   MI0014636  aly-MIR399g
MI   MI0014637  aly-MIR399h
MI   MI0014638  aly-MIR399i
MI   MI0014641  aly-MIR402
MI   MI0014595  aly-MIR403a
MI   MI0026014  aly-MIR403b
MI   MI0014596  aly-MIR408
MI   MI0015784  aly-MIR4223
MI   MI0015791  aly-MIR4230
MI   MI0015802  aly-MIR4240
MI   MI0015806  aly-MIR4244
MI   MI0015810  aly-MIR4248a
MI   MI0015811  aly-MIR4248b
MI   MI0015812  aly-MIR4248c
MI   MI0014597  aly-MIR472
MI   MI0014599  aly-MIR774a
MI   MI0014650  aly-MIR774b
MI   MI0014601  aly-MIR822
MI   MI0014602  aly-MIR823
MI   MI0014603  aly-MIR824
MI   MI0014604  aly-MIR825
MI   MI0014605  aly-MIR827
MI   MI0014606  aly-MIR828
MI   MI0014607  aly-MIR829
MI   MI0014609  aly-MIR833
MI   MI0014611  aly-MIR835
MI   MI0015780  aly-MIR841
MI   MI0014616  aly-MIR844
MI   MI0014617  aly-MIR845a
MI   MI0014618  aly-MIR845b
MI   MI0014619  aly-MIR846
MI   MI0014623  aly-MIR857
MI   MI0014624  aly-MIR858
MI   MI0014626  aly-MIR860
MI   MI0014628  aly-MIR862
MI   MI0014648  aly-MIR869
MI   MI0025286  ama-MIR156
MI   MI0025287  ama-MIR396
MI   MIMAT0001470  ame-bantam
MI   MIMAT0004418  ame-let-7
MI   MI0001575  ame-mir-1-1
MI   MI0015955  ame-mir-1-2
MI   MI0005727  ame-mir-10
MI   MI0005728  ame-mir-100
MI   MI0010617  ame-mir-1006
MI   MI0016137  ame-mir-1175
MI   MI0001577  ame-mir-124
MI   MI0001578  ame-mir-125
MI   MI0001579  ame-mir-133
MI   MI0005729  ame-mir-137
MI   MI0005730  ame-mir-13a
MI   MI0010609  ame-mir-13b
MI   MI0001580  ame-mir-184
MI   MI0005750  ame-mir-190
MI   MI0016138  ame-mir-193
MI   MI0001589  ame-mir-2-1
MI   MI0001590  ame-mir-2-2
MI   MI0005732  ame-mir-2-3
MI   MI0001581  ame-mir-210
MI   MI0001582  ame-mir-219
MI   MI0010608  ame-mir-252a
MI   MI0020309  ame-mir-252b
MI   MI0001583  ame-mir-263a
MI   MI0010611  ame-mir-263b
MI   MI0001585  ame-mir-277
MI   MI0001586  ame-mir-278
MI   MI0005734  ame-mir-279a
MI   MI0016201  ame-mir-279b
MI   MI0016216  ame-mir-279c
MI   MI0031789  ame-mir-279d
MI   MI0001587  ame-mir-281
MI   MI0005735  ame-mir-283
MI   MI0016203  ame-mir-2944
MI   MI0005736  ame-mir-29b
MI   MI0031814  ame-mir-2b
MI   MI0016209  ame-mir-306
MI   MI0016139  ame-mir-307
MI   MI0010619  ame-mir-316
MI   MI0001593  ame-mir-317
MI   MI0005737  ame-mir-31a
MI   MI0005738  ame-mir-33
MI   MI0005739  ame-mir-34
MI   MI0016213  ame-mir-3477
MI   MI0031824  ame-mir-3478
MI   MI0016236  ame-mir-3737
MI   MI0016240  ame-mir-3741
MI   MI0016144  ame-mir-3746
MI   MI0016159  ame-mir-3757
MI   MI0016163  ame-mir-3760
MI   MI0016165  ame-mir-3762
MI   MI0016169  ame-mir-3765
MI   MI0016171  ame-mir-3767
MI   MI0016200  ame-mir-3791
MI   MI0020217  ame-mir-6006
MI   MI0020313  ame-mir-6044
MI   MI0020333  ame-mir-6062
MI   MI0020334  ame-mir-6063
MI   MI0001594  ame-mir-7
MI   MI0005741  ame-mir-71
MI   MI0005742  ame-mir-79
MI   MI0001595  ame-mir-8
MI   MI0005743  ame-mir-87-1
MI   MI0005744  ame-mir-87-2
MI   MI0005751  ame-mir-929
MI   MI0005745  ame-mir-92a
MI   MI0010612  ame-mir-92b-1
MI   MI0010613  ame-mir-92b-2
MI   MI0020315  ame-mir-92c
MI   MI0031818  ame-mir-9891
MI   MI0010620  ame-mir-993
MI   MI0010610  ame-mir-996
MI   MI0001596  ame-mir-9a
MI   MI0001597  ame-mir-9b
MI   MI0016202  ame-mir-9c
MI   MI0018986  amg-MIR319
MI   MI0018987  amg-MIR396
MI   MIMAT0014130  api-bantam
MI   MIMAT0014709  api-let-7
MI   MI0013909  api-mir-1
MI   MI0013354  api-mir-10
MI   MI0013878  api-mir-100
MI   MI0013911  api-mir-124
MI   MI0013352  api-mir-137
MI   MI0013912  api-mir-13a
MI   MI0013358  api-mir-184a
MI   MI0013914  api-mir-184b
MI   MI0013353  api-mir-190
MI   MI0013357  api-mir-1923
MI   MI0013915  api-mir-210
MI   MI0013917  api-mir-219
MI   MI0013919  api-mir-252a
MI   MI0013981  api-mir-252b
MI   MI0013918  api-mir-263a
MI   MI0013920  api-mir-263b
MI   MI0013922  api-mir-277
MI   MI0013923  api-mir-278
MI   MI0013924  api-mir-279a
MI   MI0013925  api-mir-279b
MI   MI0013360  api-mir-281
MI   MI0013926  api-mir-29
MI   MI0013927  api-mir-2a
MI   MI0013928  api-mir-2b
MI   MI0013929  api-mir-2c
MI   MI0013968  api-mir-3025
MI   MI0013930  api-mir-307
MI   MI0013933  api-mir-316
MI   MI0013934  api-mir-317
MI   MI0013935  api-mir-34
MI   MI0013936  api-mir-7
MI   MI0013937  api-mir-71
MI   MI0013939  api-mir-8
MI   MI0013941  api-mir-87a
MI   MI0013940  api-mir-87b
MI   MI0013943  api-mir-929
MI   MI0013944  api-mir-92a-1
MI   MI0013945  api-mir-92a-2
MI   MI0013946  api-mir-92b-1
MI   MI0013947  api-mir-92b-2
MI   MI0013361  api-mir-993
MI   MI0013951  api-mir-996
MI   MI0013954  api-mir-9a
MI   MI0013955  api-mir-9b
MI   MI0012069  aqc-MIR156a
MI   MI0012068  aqc-MIR156b
MI   MI0012070  aqc-MIR159
MI   MI0012071  aqc-MIR160a
MI   MI0012072  aqc-MIR160b
MI   MI0012074  aqc-MIR166a
MI   MI0012075  aqc-MIR166b
MI   MI0012076  aqc-MIR166c
MI   MI0012077  aqc-MIR166d
MI   MI0012073  aqc-MIR166e
MI   MI0012078  aqc-MIR167
MI   MI0012079  aqc-MIR168
MI   MI0012081  aqc-MIR169a
MI   MI0012082  aqc-MIR169b
MI   MI0012080  aqc-MIR169c
MI   MI0012084  aqc-MIR171a
MI   MI0012085  aqc-MIR171b
MI   MI0012086  aqc-MIR171c
MI   MI0012087  aqc-MIR171d
MI   MI0012088  aqc-MIR171e
MI   MI0012083  aqc-MIR171f
MI   MI0012089  aqc-MIR172a
MI   MI0012090  aqc-MIR172b
MI   MI0012091  aqc-MIR319
MI   MI0012093  aqc-MIR395a
MI   MI0012092  aqc-MIR395b
MI   MI0012094  aqc-MIR396a
MI   MI0012095  aqc-MIR396b
MI   MI0012096  aqc-MIR398a
MI   MI0012097  aqc-MIR398b
MI   MI0012098  aqc-MIR399
MI   MI0012099  aqc-MIR408
MI   MI0012103  aqc-MIR477a
MI   MI0012104  aqc-MIR477b
MI   MI0012105  aqc-MIR477c
MI   MI0012106  aqc-MIR477d
MI   MI0012102  aqc-MIR477e
MI   MI0012101  aqc-MIR477f
MI   MI0012100  aqc-MIR477g
MI   MI0012107  aqc-MIR482a
MI   MI0012108  aqc-MIR482b
MI   MI0012109  aqc-MIR482c
MI   MI0012110  aqc-MIR529
MI   MI0012111  aqc-MIR530
MI   MI0012112  aqc-MIR535
MI   MI0010228  aqu-mir-2020
MI   MIMAT0021417  asu-let-7
MI   MIMAT0021415  asu-lin-4
MI   MI0018528  asu-mir-1
MI   MI0018562  asu-mir-100a-1
MI   MI0018563  asu-mir-100a-2
MI   MI0018564  asu-mir-100b
MI   MI0018566  asu-mir-100d
MI   MI0018591  asu-mir-100e
MI   MI0018586  asu-mir-1175
MI   MI0018567  asu-mir-124
MI   MI0018568  asu-mir-133
MI   MI0018587  asu-mir-1822
MI   MI0018570  asu-mir-184
MI   MI0018571  asu-mir-228
MI   MI0018569  asu-mir-234
MI   MI0018572  asu-mir-236
MI   MI0018574  asu-mir-252
MI   MI0018575  asu-mir-279a
MI   MI0018576  asu-mir-279b
MI   MI0018577  asu-mir-279c
MI   MI0018529  asu-mir-2a
MI   MI0018535  asu-mir-34
MI   MI0018536  asu-mir-36a
MI   MI0018537  asu-mir-36b
MI   MI0018538  asu-mir-36c
MI   MI0018539  asu-mir-36d
MI   MI0018540  asu-mir-36e
MI   MI0018593  asu-mir-36f
MI   MI0018541  asu-mir-43a
MI   MI0018546  asu-mir-46
MI   MI0018548  asu-mir-50
MI   MI0018615  asu-mir-5364
MI   MI0018617  asu-mir-5366
MI   MI0018550  asu-mir-57
MI   MI0018581  asu-mir-67
MI   MI0018531  asu-mir-7
MI   MI0018551  asu-mir-71
MI   MI0018552  asu-mir-72
MI   MI0018553  asu-mir-76
MI   MI0018554  asu-mir-79
MI   MI0018555  asu-mir-81a
MI   MI0018526  asu-mir-81b
MI   MI0018527  asu-mir-81c
MI   MI0018556  asu-mir-83
MI   MI0018559  asu-mir-87a
MI   MI0018560  asu-mir-87b
MI   MI0018532  asu-mir-9
MI   MI0018561  asu-mir-92
MI   MI0018585  asu-mir-993
MI   MI0031710  ata-MIR1432
MI   MI0031664  ata-MIR156a
MI   MI0031669  ata-MIR156b
MI   MI0031662  ata-MIR156c
MI   MI0031649  ata-MIR156d
MI   MI0031722  ata-MIR156e
MI   MI0031681  ata-MIR160a
MI   MI0031653  ata-MIR160b
MI   MI0031703  ata-MIR160c
MI   MI0031709  ata-MIR164a
MI   MI0031712  ata-MIR164b
MI   MI0031724  ata-MIR164c
MI   MI0031658  ata-MIR166a
MI   MI0031666  ata-MIR166b
MI   MI0031727  ata-MIR166c
MI   MI0031682  ata-MIR166d
MI   MI0031663  ata-MIR166e
MI   MI0031648  ata-MIR167a
MI   MI0031690  ata-MIR167b
MI   MI0031646  ata-MIR167c
MI   MI0031719  ata-MIR167d
MI   MI0031656  ata-MIR167e
MI   MI0031701  ata-MIR167f
MI   MI0031679  ata-MIR168
MI   MI0031707  ata-MIR169a
MI   MI0031676  ata-MIR169b
MI   MI0031671  ata-MIR169c
MI   MI0031706  ata-MIR169d
MI   MI0031660  ata-MIR169e
MI   MI0031692  ata-MIR169f
MI   MI0031645  ata-MIR169g
MI   MI0031729  ata-MIR169h
MI   MI0031686  ata-MIR169i
MI   MI0031674  ata-MIR169j
MI   MI0031698  ata-MIR171a
MI   MI0031728  ata-MIR171b
MI   MI0031652  ata-MIR171c
MI   MI0031717  ata-MIR171d
MI   MI0031670  ata-MIR172a
MI   MI0031677  ata-MIR172b
MI   MI0031714  ata-MIR172c
MI   MI0031693  ata-MIR2118a
MI   MI0031713  ata-MIR2118b
MI   MI0031659  ata-MIR2118c
MI   MI0031738  ata-MIR2118d
MI   MI0031657  ata-MIR2275a
MI   MI0031665  ata-MIR2275b
MI   MI0031716  ata-MIR2275c
MI   MI0031725  ata-MIR319
MI   MI0031673  ata-MIR390
MI   MI0031650  ata-MIR393
MI   MI0031720  ata-MIR394
MI   MI0031684  ata-MIR395a
MI   MI0031678  ata-MIR395b
MI   MI0031708  ata-MIR395c
MI   MI0031685  ata-MIR395d
MI   MI0031661  ata-MIR395e
MI   MI0031695  ata-MIR395f
MI   MI0031647  ata-MIR396a
MI   MI0031694  ata-MIR396b
MI   MI0031688  ata-MIR396c
MI   MI0031683  ata-MIR396d
MI   MI0031687  ata-MIR396e
MI   MI0031691  ata-MIR398f
MI   MI0031718  ata-MIR398g
MI   MI0031723  ata-MIR399a
MI   MI0031702  ata-MIR399b
MI   MI0031697  ata-MIR408
MI   MI0031696  ata-MIR5062a
MI   MI0031704  ata-MIR5062b
MI   MI0031651  ata-MIR5070
MI   MI0031668  ata-MIR5168
MI   MI0031675  ata-MIR5181
MI   MI0000178  ath-MIR156a
MI   MI0000179  ath-MIR156b
MI   MI0000180  ath-MIR156c
MI   MI0000181  ath-MIR156d
MI   MI0000182  ath-MIR156e
MI   MI0000183  ath-MIR156f
MI   MI0001082  ath-MIR156g
MI   MI0001083  ath-MIR156h
MI   MI0019232  ath-MIR156i
MI   MI0019234  ath-MIR156j
MI   MI0000184  ath-MIR157a
MI   MI0000185  ath-MIR157b
MI   MI0000186  ath-MIR157c
MI   MI0000187  ath-MIR157d
MI   MI0000189  ath-MIR159a
MI   MI0000218  ath-MIR159b
MI   MI0001085  ath-MIR159c
MI   MI0000190  ath-MIR160a
MI   MI0000191  ath-MIR160b
