AC   MIPF0000001
ID   let-7
MI   MIMAT0024437  mse-let-7a
MI   MIMAT0023716  cgr-let-7a
MI   MIMAT0021692  aca-let-7a
MI   MI0017984  ssc-let-7a-2
MI   MIMAT0010006  bfl-let-7b
MI   MI0010516  bfl-let-7a-1
MI   MIMAT0009649  spu-let-7
MI   MIMAT0009644  sko-let-7
MI   MI0010007  bfl-let-7a-2
MI   MI0005360  mdo-let-7a-1
MI   MIMAT0003644  xtr-let-7c
MI   MI0003408  tni-let-7a-1
MI   MI0001234  gga-let-7a-1
MI   MI0000827  rno-let-7a-1
MI   MI0000556  mmu-let-7a-1
MI   MI0031304  oha-let-7c-3
MI   MI0031302  oha-let-7c-1
MI   MI0031299  oha-let-7a-1
MI   MI0026742  ssa-let-7a-2
MI   MI0026741  ssa-let-7a-3
MI   MI0026424  ssa-let-7c-2
MI   MI0026423  ssa-let-7c-1
MI   MI0025558  prd-let-7
MI   MIMAT0030022  oar-let-7a
MI   MI0024449  ipu-let-7g-1
MI   MI0024438  ipu-let-7a-4
MI   MI0024434  ipu-let-7a-1
MI   MI0024433  ipu-let-7a-7
MI   MI0024054  oan-let-7c-2
MI   MI0024053  oan-let-7c-1
MI   MIMAT0026189  ccr-let-7a
MI   MIMAT0024931  hme-let-7
MI   MI0017145  pma-let-7a-2
MI   MI0017144  pma-let-7a-1
MI   MI0015465  rno-mir-3596a
MI   MI0014779  ppy-let-7a-1
MI   MI0013723  tgu-let-7a-3
MI   MIMAT0014094  bma-let-7
MI   MIMAT0012680  isc-let-7
MI   MI0008397  ptr-let-7a-1
MI   MI0007570  mml-let-7a-1
MI   MI0005057  bta-let-7a-1
MI   MI0001873  dre-let-7g-1
MI   MI0001861  dre-let-7a-4
MI   MI0001857  dre-let-7a-1
MI   MI0000828  rno-let-7a-2
MI   MI0000557  mmu-let-7a-2
MI   MI0000060  hsa-let-7a-1
MI   MI0031303  oha-let-7c-2
MI   MI0026740  ssa-let-7a-1
MI   MI0019508  ola-let-7a-4
MI   MIMAT0021417  asu-let-7
MI   MIMAT0015723  ppy-let-7c
MI   MIMAT0014964  oar-let-7c
MI   MI0013727  tgu-let-7c-2
MI   MI0013726  tgu-let-7c-1
MI   MIMAT0007938  ptr-let-7c
MI   MIMAT0006153  mml-let-7c
MI   MIMAT0004332  bta-let-7c
MI   MIMAT0004190  bmo-let-7
MI   MIMAT0003667  xtr-let-7a
MI   MI0003407  fru-let-7a-1
MI   MIMAT0001104  gga-let-7c
MI   MI0000831  rno-let-7c-2
MI   MI0000560  mmu-let-7c-2
MI   MIMAT0000064  hsa-let-7c
MI   MI0025134  lva-let-7
MI   MI0022191  pol-let-7a
MI   MIMAT0023718  cgr-let-7c
MI   MIMAT0019568  pma-let-7d
MI   MIMAT0013181  eca-let-7c
MI   MIMAT0009552  cte-let-7
MI   MIMAT0009098  dya-let-7
MI   MIMAT0008996  dwi-let-7
MI   MIMAT0008980  dvi-let-7
MI   MIMAT0008876  dsi-let-7
MI   MIMAT0008837  dse-let-7
MI   MI0009316  dpe-let-7-2
MI   MI0009254  dpe-let-7-1
MI   MIMAT0008686  dmo-let-7
MI   MI0009176  dgr-let-7-2
MI   MI0009138  dgr-let-7-1
MI   MIMAT0008486  der-let-7
MI   MIMAT0008467  dan-let-7
MI   MIMAT0008354  tca-let-7
MI   MIMAT0006669  cfa-let-7c
MI   MI0006962  oan-let-7f-1
MI   MI0004909  xtr-let-7e-2
MI   MIMAT0001198  dps-let-7
MI   MIMAT0000396  dme-let-7
MI   MI0031305  oha-let-7b
MI   MI0031301  oha-let-7f-1
MI   MI0030584  chi-let-7f
MI   MI0030580  chi-let-7b
MI   MIMAT0035017  efu-let-7f
MI   MI0026427  ssa-let-7g-2
MI   MI0026426  ssa-let-7g-1
MI   MI0026422  ssa-let-7j
MI   MIMAT0030024  oar-let-7f
MI   MI0024450  ipu-let-7g-2
MI   MI0024356  aja-mir-3596
MI   MIMAT0026191  ccr-let-7g
MI   MIMAT0026190  ccr-let-7b
MI   MI0022121  ssc-let-7f-2
MI   MIMAT0024077  ggo-let-7b
MI   MIMAT0024073  ggo-let-7f
MI   MIMAT0023721  cgr-let-7f
MI   MIMAT0023717  cgr-let-7b
MI   MI0019550  ola-let-7b-2
MI   MIMAT0022563  ola-let-7g
MI   MI0019431  ola-let-7b-1
MI   MI0018707  aca-let-7f-1
MI   MIMAT0021694  aca-let-7b
MI   MIMAT0019567  pma-let-7c
MI   MI0015952  bta-mir-3596
MI   MI0015418  rno-mir-3596d
MI   MI0014787  ppy-let-7f-2
MI   MI0014786  ppy-let-7f-1
MI   MIMAT0015722  ppy-let-7b
MI   MIMAT0014963  oar-let-7b
MI   MIMAT0014530  tgu-let-7f
MI   MIMAT0013111  eca-let-7f
MI   MIMAT0009836  cfa-let-7b
MI   MI0008405  ptr-let-7f-2
MI   MI0008404  ptr-let-7f-1
MI   MIMAT0007937  ptr-let-7b
MI   MI0007578  mml-let-7f-2
MI   MI0007577  mml-let-7f-1
MI   MIMAT0006152  mml-let-7b
MI   MI0006895  oan-let-7f-2
MI   MIMAT0004331  bta-let-7b
MI   MI0005361  mdo-let-7f-1
MI   MIMAT0004162  mdo-let-7b
MI   MI0005349  mdo-let-7f-2
MI   MI0005062  bta-let-7f-1
MI   MIMAT0003645  xtr-let-7f
MI   MI0004734  bta-let-7f-2
MI   MIMAT0003098  tni-let-7g
MI   MIMAT0003097  fru-let-7g
MI   MIMAT0003017  tni-let-7b
MI   MIMAT0003016  fru-let-7b
MI   MI0002446  ssc-let-7f-1
MI   MI0001874  dre-let-7g-2
MI   MIMAT0001764  dre-let-7f
MI   MIMAT0001760  dre-let-7b
MI   MIMAT0001162  gga-let-7f
MI   MI0000834  rno-let-7f-2
MI   MI0000833  rno-let-7f-1
MI   MIMAT0000775  rno-let-7b
MI   MI0000563  mmu-let-7f-2
MI   MI0000562  mmu-let-7f-1
MI   MIMAT0000522  mmu-let-7b
MI   MI0000068  hsa-let-7f-2
MI   MI0000067  hsa-let-7f-1
MI   MIMAT0000063  hsa-let-7b
MI   MI0031494  oha-mir-98
MI   MI0031307  oha-let-7f-2
MI   MI0031306  oha-let-7d
MI   MI0031293  tch-let-7e
MI   MI0031186  tch-let-7f
MI   MI0030844  chi-mir-98
MI   MI0030583  chi-let-7e
MI   MI0030582  chi-let-7d
MI   MIMAT0035186  efu-let-7e
MI   MIMAT0035016  efu-let-7d
MI   MIMAT0034396  cfa-let-7d
MI   MIMAT0030023  oar-let-7d
MI   MIMAT0029379  ipu-let-7f
MI   MI0024446  ipu-let-7e-2
MI   MI0022120  ssc-let-7d
MI   MIMAT0024079  ggo-let-7e
MI   MI0020563  cgr-mir-98
MI   MI0020371  cgr-let-7d
MI   MI0018893  aca-mir-98
MI   MI0018708  aca-let-7f-2
MI   MIMAT0021699  aca-let-7d
MI   MIMAT0019565  pma-let-7b
MI   MI0015459  rno-mir-3596c
MI   MI0015455  rno-mir-3596b
MI   MIMAT0015725  ppy-let-7e
MI   MIMAT0015724  ppy-let-7d
MI   MIMAT0014536  tgu-let-7d
MI   MIMAT0014366  cqu-let-7
MI   MIMAT0014299  aae-let-7
MI   MI0013122  ssc-mir-98
MI   MIMAT0013866  ssc-let-7e
MI   MI0012988  eca-mir-98
MI   MIMAT0013110  eca-let-7d
MI   MIMAT0013007  eca-let-7e
MI   MIMAT0007940  ptr-let-7e
MI   MIMAT0007939  ptr-let-7d
MI   MIMAT0006610  cfa-let-7f
MI   MIMAT0006608  cfa-let-7e
MI   MIMAT0006155  mml-let-7e
MI   MIMAT0006154  mml-let-7d
MI   MIMAT0007234  oan-let-7d
MI   MIMAT0004333  bta-let-7e
MI   MIMAT0004172  mdo-let-7d
MI   MIMAT0003810  bta-let-7d
MI   MI0005025  bta-mir-98
MI   MI0004907  xtr-let-7e-1
MI   MI0002697  ptr-mir-98
MI   MI0000882  rno-mir-98
MI   MIMAT0000777  rno-let-7e
MI   MIMAT0000562  rno-let-7d
MI   MI0000586  mmu-mir-98
MI   MIMAT0000524  mmu-let-7e
MI   MIMAT0000383  mmu-let-7d
MI   MI0000100  hsa-mir-98
MI   MIMAT0000066  hsa-let-7e
MI   MIMAT0000065  hsa-let-7d
MI   MI0026753  ssa-let-7b-2
MI   MI0026752  ssa-let-7b-1
MI   MI0024441  ipu-let-7b-1
MI   MI0024440  ipu-let-7b-2
MI   MI0022190  pol-let-7b
MI   MIMAT0014709  api-let-7
MI   MIMAT0014509  tgu-let-7b
MI   MIMAT0006116  csa-let-7a
MI   MIMAT0006897  oan-let-7b
MI   MI0002701  ppa-mir-98
MI   MI0002700  age-mir-98
MI   MI0002699  ppy-mir-98
MI   MI0002698  ggo-mir-98
MI   MI0002696  mml-mir-98
MI   MIMAT0001495  aga-let-7
MI   MIMAT0001102  gga-let-7b
MI   MI0031311  oha-let-7e
MI   MI0026757  ssa-let-7e-2
MI   MI0026756  ssa-let-7e-1
MI   MI0026425  ssa-let-7f
MI   MI0024447  ipu-let-7e-1
MI   MIMAT0022565  ola-let-7e
MI   MIMAT0021701  aca-let-7e
MI   MIMAT0014518  tgu-let-7e
MI   MIMAT0006984  oan-let-7e
MI   MIMAT0002899  tni-let-7e
MI   MIMAT0002898  fru-let-7e
MI   MIMAT0001763  dre-let-7e
MI   MIMAT0001182  gga-let-7k
MI   MIMAT0006088  cin-let-7c
MI   MIMAT0002893  tni-let-7h
MI   MIMAT0002892  fru-let-7h
MI   MIMAT0001766  dre-let-7h
MI   MI0031233  tch-mir-98
MI   MI0026428  ssa-let-7h
MI   MI0008182  cfa-mir-98
MI   MIMAT0001161  gga-let-7d
MI   MIMAT0006117  csa-let-7b
MI   MI0011383  bta-mir-2354
MI   MI0012004  mtr-MIR2657
MI   MI0031142  tch-let-7a
MI   MI0006894  oan-mir-98
MI   MI0004820  xtr-mir-98
MI   MIMAT0029381  ipu-let-7h
MI   MI0009958  mmu-mir-1961
MI   MI0026755  ssa-let-7d-2
MI   MI0022192  pol-let-7d
MI   MIMAT0002996  tni-let-7d
MI   MIMAT0002995  fru-let-7d
MI   MI0026754  ssa-let-7d-1
MI   MI0001870  dre-let-7d-2
MI   MI0024444  ipu-let-7d-2
MI   MI0024445  ipu-let-7d-1
MI   MI0001868  dre-let-7d-1
MI   MIMAT0006077  odi-let-7d
MI   MI0016393  tca-mir-3894
MI   MI0018521  osa-MIR5339
MI   MI0025887  stu-MIR8051
MI   MI0028101  eca-mir-8954
MI   MI0018281  mtr-MIR5217
MI   MI0013854  bmo-mir-2998
MI   MI0024993  mmu-mir-7653
//
AC   MIPF0000002
ID   MIR166
MI   MI0010704  pvu-MIR166a
MI   MI0011887  mtr-MIR2620
MI   MI0019780  gma-MIR166l
MI   MI0021693  gma-MIR166q
MI   MI0021691  gma-MIR166o
MI   MI0014535  aly-MIR166d
MI   MI0014534  aly-MIR166c
MI   MI0006477  bna-MIR166d
MI   MI0000204  ath-MIR166d
MI   MI0024241  mes-MIR166h
MI   MI0023269  cme-MIR166g
MI   MI0021241  lus-MIR166f
MI   MI0021237  lus-MIR166e
MI   MI0014538  aly-MIR166g
MI   MI0000207  ath-MIR166g
MI   MI0014530  aly-MIR165a
MI   MI0005916  ppt-MIR166m
MI   MI0001142  osa-MIR166g
MI   MI0023020  mdm-MIR166d
MI   MI0000201  ath-MIR166a
MI   MI0014533  aly-MIR166b
MI   MI0024237  mes-MIR166d
MI   MI0000199  ath-MIR165a
MI   MI0020272  bna-MIR166f
MI   MI0023207  cme-MIR166b
MI   MI0000200  ath-MIR165b
MI   MI0005618  mtr-MIR166g
MI   MI0001775  gma-MIR166a
MI   MI0024240  mes-MIR166g
MI   MI0014531  aly-MIR165b
MI   MI0021192  lus-MIR166b
MI   MI0021340  nta-MIR166b
MI   MI0021344  nta-MIR166f
MI   MI0021256  lus-MIR166i
MI   MI0013390  rco-MIR166e
MI   MI0013387  rco-MIR166b
MI   MI0026076  ppe-MIR166d
MI   MI0024239  mes-MIR166f
MI   MI0023213  cme-MIR166f
MI   MI0023023  mdm-MIR166g
MI   MI0023017  mdm-MIR166a
MI   MI0021343  nta-MIR166e
MI   MI0021224  lus-MIR166d
MI   MI0017829  gma-MIR166c
MI   MI0014532  aly-MIR166a
MI   MI0013296  csi-MIR166e
MI   MI0008359  sly-MIR166b
MI   MI0006511  vvi-MIR166e
MI   MI0006509  vvi-MIR166c
MI   MI0002228  ptc-MIR166k
MI   MI0002227  ptc-MIR166j
MI   MI0002220  ptc-MIR166c
MI   MI0026077  ppe-MIR166e
MI   MI0026075  ppe-MIR166c
MI   MI0026073  ppe-MIR166a
MI   MI0025297  bdi-MIR166i
MI   MI0024238  mes-MIR166e
MI   MI0024235  mes-MIR166b
MI   MI0023214  cme-MIR166a
MI   MI0023201  cme-MIR166c
MI   MI0023024  mdm-MIR166h
MI   MI0023018  mdm-MIR166b
MI   MI0022054  hbr-MIR166a
MI   MI0021342  nta-MIR166d
MI   MI0021339  nta-MIR166a
MI   MI0021243  lus-MIR166g
MI   MI0021188  lus-MIR166a
MI   MI0018112  bdi-MIR166e
MI   MI0017470  tcc-MIR166d
MI   MI0016694  csi-MIR166c
MI   MI0013389  rco-MIR166d
MI   MI0013315  csi-MIR166a
MI   MI0013297  ctr-MIR166
MI   MI0006514  vvi-MIR166h
MI   MI0006513  vvi-MIR166g
MI   MI0005645  ghr-MIR166b
MI   MI0002225  ptc-MIR166h
MI   MI0002224  ptc-MIR166g
MI   MI0002218  ptc-MIR166a
MI   MI0000673  osa-MIR166d
MI   MI0000202  ath-MIR166b
MI   MI0031682  ata-MIR166d
MI   MI0031663  ata-MIR166e
MI   MI0027515  atr-MIR166c
MI   MI0027513  atr-MIR166a
MI   MI0024236  mes-MIR166c
MI   MI0024234  mes-MIR166a
MI   MI0022055  hbr-MIR166b
MI   MI0021697  gma-MIR166u
MI   MI0021690  gma-MIR166n
MI   MI0021341  nta-MIR166c
MI   MI0021212  lus-MIR166c
MI   MI0019792  gma-MIR166m
MI   MI0018092  bdi-MIR166b
MI   MI0018089  bdi-MIR166d
MI   MI0017831  gma-MIR166e
MI   MI0017467  tcc-MIR166a
MI   MI0013388  rco-MIR166c
MI   MI0006474  bna-MIR166a
MI   MI0002234  ptc-MIR166q
MI   MI0002229  ptc-MIR166l
MI   MI0002226  ptc-MIR166i
MI   MI0002222  ptc-MIR166e
MI   MI0002219  ptc-MIR166b
MI   MI0001776  gma-MIR166b
MI   MI0001480  zma-MIR166a
MI   MI0000672  osa-MIR166c
MI   MI0000671  osa-MIR166b
MI   MI0026074  ppe-MIR166b
MI   MI0024243  mes-MIR166j
MI   MI0023025  mdm-MIR166i
MI   MI0023022  mdm-MIR166f
MI   MI0023021  mdm-MIR166e
MI   MI0023019  mdm-MIR166c
MI   MI0021345  nta-MIR166g
MI   MI0021251  lus-MIR166h
MI   MI0020273  bna-MIR166e
MI   MI0020201  dpr-MIR166b
MI   MI0018660  gma-MIR166i
MI   MI0017832  gma-MIR166f
MI   MI0017830  gma-MIR166d
MI   MI0014536  aly-MIR166e
MI   MI0012075  aqc-MIR166b
MI   MI0012073  aqc-MIR166e
MI   MI0010867  sbi-MIR166h
MI   MI0006510  vvi-MIR166d
MI   MI0006508  vvi-MIR166b
MI   MI0005782  pta-MIR166a
MI   MI0005594  mtr-MIR166e
MI   MI0000675  osa-MIR166f
MI   MI0000205  ath-MIR166e
MI   MI0000203  ath-MIR166c
MI   MI0026348  cpa-MIR166a
MI   MI0026012  aly-MIR166h
MI   MI0023212  cme-MIR166h
MI   MI0023211  cme-MIR166d
MI   MI0022244  hpe-MIR166a
MI   MI0022243  hpa-MIR166a
MI   MI0021695  gma-MIR166s
MI   MI0021694  gma-MIR166r
MI   MI0021346  nta-MIR166h
MI   MI0014537  aly-MIR166f
MI   MI0013386  rco-MIR166a
MI   MI0013311  crt-MIR166b
MI   MI0010869  sbi-MIR166j
MI   MI0008358  sly-MIR166a
MI   MI0006512  vvi-MIR166f
MI   MI0006476  bna-MIR166c
MI   MI0006475  bna-MIR166b
MI   MI0005909  ppt-MIR166f
MI   MI0005582  mtr-MIR166d
MI   MI0002223  ptc-MIR166f
MI   MI0002221  ptc-MIR166d
MI   MI0000206  ath-MIR166f
MI   MI0031658  ata-MIR166a
MI   MI0029105  sly-MIR166c
MI   MI0027775  gra-MIR166d
MI   MI0027516  atr-MIR166d
MI   MI0027514  atr-MIR166b
MI   MI0025934  stu-MIR166c
MI   MI0025546  ssp-MIR166
MI   MI0022092  pde-MIR166b
MI   MI0022091  pde-MIR166a
MI   MI0021696  gma-MIR166t
MI   MI0018661  gma-MIR166j
MI   MI0018113  bdi-MIR166c
MI   MI0017468  tcc-MIR166b
MI   MI0016695  csi-MIR166d
MI   MI0016118  pab-MIR166a
MI   MI0013316  csi-MIR166b
MI   MI0013310  crt-MIR166a
MI   MI0006054  smo-MIR166b
MI   MI0006053  smo-MIR166a
MI   MI0005581  mtr-MIR166c
MI   MI0005575  mtr-MIR166b
MI   MI0002230  ptc-MIR166m
MI   MI0001740  mtr-MIR166a
MI   MI0001497  sbi-MIR166d
MI   MI0001489  zma-MIR166c
MI   MI0001483  zma-MIR166e
MI   MI0000670  osa-MIR166a
MI   MI0026408  lus-MIR166k
MI   MI0026350  cpa-MIR166c
MI   MI0025932  stu-MIR166a
MI   MI0021692  gma-MIR166p
MI   MI0019344  ssl-MIR166b
MI   MI0019343  ssl-MIR166a
MI   MI0017834  gma-MIR166h
MI   MI0017833  gma-MIR166g
MI   MI0010868  sbi-MIR166i
MI   MI0006055  smo-MIR166c
MI   MI0005910  ppt-MIR166g
MI   MI0005908  ppt-MIR166e
MI   MI0005783  pta-MIR166b
MI   MI0005660  ppt-MIR166a
MI   MI0005659  ppt-MIR166b
MI   MI0005614  mtr-MIR166f
MI   MI0001842  zma-MIR166m
MI   MIMAT0001465  sbi-MIR166f
MI   MI0001500  sbi-MIR166a
MI   MI0001490  zma-MIR166d
MI   MI0001488  zma-MIR166b
MI   MI0001485  zma-MIR166i
MI   MI0001157  osa-MIR166m
MI   MI0001143  osa-MIR166h
MI   MI0031666  ata-MIR166b
MI   MI0027751  gra-MIR166c
MI   MI0026407  lus-MIR166j
MI   MI0026352  cpa-MIR166e
MI   MI0026351  cpa-MIR166d
MI   MI0026349  cpa-MIR166b
MI   MI0025935  stu-MIR166d
MI   MI0024242  mes-MIR166i
MI   MI0018212  hvu-MIR166c
MI   MI0016742  hvu-MIR166b
MI   MI0016455  hvu-MIR166a
MI   MI0016119  pab-MIR166b
MI   MI0012074  aqc-MIR166a
MI   MI0011570  bdi-MIR166a
MI   MI0005912  ppt-MIR166i
MI   MI0005911  ppt-MIR166h
MI   MI0005907  ppt-MIR166d
MI   MI0005906  ppt-MIR166c
MI   MI0001499  sbi-MIR166b
MI   MI0001498  sbi-MIR166c
MI   MI0001487  zma-MIR166g
MI   MI0001486  zma-MIR166f
MI   MI0001482  zma-MIR166h
MI   MI0001158  osa-MIR166j
MI   MI0031025  gma-MIR9743
MI   MI0023283  cme-MIR166e
MI   MI0023195  cme-MIR166i
MI   MI0020200  dpr-MIR166a
MI   MI0019768  gma-MIR166k
MI   MI0018083  bdi-MIR166f
MI   MI0017469  tcc-MIR166c
MI   MI0012077  aqc-MIR166d
MI   MI0012076  aqc-MIR166c
MI   MI0010870  sbi-MIR166k
MI   MI0006507  vvi-MIR166a
MI   MI0005915  ppt-MIR166l
MI   MI0005914  ppt-MIR166k
MI   MI0005913  ppt-MIR166j
MI   MI0002233  ptc-MIR166p
MI   MI0002232  ptc-MIR166o
MI   MI0002231  ptc-MIR166n
MI   MI0001841  zma-MIR166l
MI   MI0001107  osa-MIR166k
MI   MI0000674  osa-MIR166e
MI   MI0031727  ata-MIR166c
MI   MI0031668  ata-MIR5168
MI   MI0029154  bdi-MIR166j
MI   MI0025933  stu-MIR166b
MI   MI0025296  bdi-MIR166h
MI   MI0018135  bdi-MIR166g
MI   MI0013197  zma-MIR166n
MI   MI0001818  zma-MIR166j
MI   MIMAT0001446  sbi-MIR166e
MI   MI0001108  osa-MIR166l
MI   MI0027276  sma-mir-8474
MI   MI0001853  sbi-MIR166g
MI   MI0001817  zma-MIR166k
MI   MI0001144  osa-MIR166i
MI   MI0003634  hsa-mir-620
MI   MI0014375  bmo-mir-3317
MI   MI0022806  mmu-mir-6959
MI   MI0020334  ame-mir-6063
MI   MI0020038  hco-mir-5909
MI   MI0022837  mmu-mir-6989
MI   MI0022557  hsa-mir-6722
MI   MI0028770  efu-mir-9331
MI   MI0022629  hsa-mir-6784
MI   MI0017751  dme-mir-4965
MI   MI0028111  eca-mir-8958
MI   MI0011212  ppc-mir-2245
MI   MI0017373  hsa-mir-4736
MI   MI0014267  bmo-mir-3214
MI   MI0028479  efu-mir-9219
MI   MI0011703  dps-mir-2559
MI   MI0016220  ame-mir-3724
MI   MI0027424  bta-mir-8550
MI   MI0005900  cel-mir-1022
MI   MI0025480  ptc-MIR7820
MI   MI0021419  nta-MIR6144
MI   MI0016362  tca-mir-3868
MI   MI0007092  odi-mir-1481
MI   MI0027027  ppc-mir-8324
MI   MI0015406  rno-mir-3550
MI   MI0017208  pma-mir-4598
MI   MI0011369  bta-mir-2341
MI   MI0026905  ppc-mir-8246
MI   MI0028934  dme-mir-9385
MI   MI0025000  mmu-mir-7660
MI   MI0023474  bma-mir-5872
MI   MI0028974  gsa-mir-277b
MI   MI0018021  mmu-mir-5112
MI   MI0020121  hco-mir-5951
MI   MI0016853  hsa-mir-4491
MI   MI0024801  cbn-mir-7618
MI   MI0023817  mdo-mir-7299
MI   MI0024065  oan-mir-7414
MI   MI0024709  ipu-mir-7574
//
AC   MIPF0000003
ID   MIR395
MI   MI0022045  ptc-MIR395k
MI   MI0019788  gma-MIR395d
MI   MI0018221  bdi-MIR395f
MI   MI0019791  gma-MIR395g
MI   MI0019790  gma-MIR395f
MI   MI0019789  gma-MIR395e
MI   MI0013223  zma-MIR395o
MI   MI0013222  zma-MIR395n
MI   MI0013215  zma-MIR395g
MI   MI0013212  zma-MIR395d
MI   MIMAT0001431  sbi-MIR395c
MI   MIMAT0001433  sbi-MIR395e
MI   MIMAT0001432  sbi-MIR395d
MI   MIMAT0001429  sbi-MIR395b
MI   MI0001036  osa-MIR395l
MI   MI0031708  ata-MIR395c
MI   MI0031695  ata-MIR395f
MI   MI0031685  ata-MIR395d
MI   MI0031684  ata-MIR395a
MI   MI0031661  ata-MIR395e
MI   MI0030564  bra-MIR395a
MI   MI0030563  bra-MIR395c
MI   MI0030562  bra-MIR395b
MI   MI0030561  bra-MIR395d
MI   MI0029162  bdi-MIR395q
MI   MI0027534  atr-MIR395
MI   MI0026373  cpa-MIR395e
MI   MI0026370  cpa-MIR395b
MI   MI0026369  cpa-MIR395a
MI   MI0026116  ppe-MIR395n
MI   MI0026114  ppe-MIR395l
MI   MI0026113  ppe-MIR395k
MI   MI0026112  ppe-MIR395j
MI   MI0026111  ppe-MIR395i
MI   MI0026110  ppe-MIR395h
MI   MI0026109  ppe-MIR395g
MI   MI0026108  ppe-MIR395f
MI   MI0026107  ppe-MIR395e
MI   MI0026106  ppe-MIR395d
MI   MI0026105  ppe-MIR395c
MI   MI0025945  stu-MIR395g
MI   MI0025944  stu-MIR395f
MI   MI0025943  stu-MIR395e
MI   MI0025299  bdi-MIR395o
MI   MI0024312  mes-MIR395c
MI   MI0024310  mes-MIR395a
MI   MI0023274  cme-MIR395c
MI   MI0023261  cme-MIR395b
MI   MI0023248  cme-MIR395f
MI   MI0023247  cme-MIR395d
MI   MI0023092  mdm-MIR395i
MI   MI0023091  mdm-MIR395h
MI   MI0023090  mdm-MIR395g
MI   MI0023087  mdm-MIR395d
MI   MI0023085  mdm-MIR395b
MI   MI0023084  mdm-MIR395a
MI   MI0021718  gma-MIR395l
MI   MI0021717  gma-MIR395k
MI   MI0021716  gma-MIR395j
MI   MI0021715  gma-MIR395i
MI   MI0021397  nta-MIR395c
MI   MI0021396  nta-MIR395b
MI   MI0021395  nta-MIR395a
MI   MI0021165  lus-MIR395d
MI   MI0021156  lus-MIR395c
MI   MI0021153  lus-MIR395b
MI   MI0021152  lus-MIR395a
MI   MI0020285  bna-MIR395c
MI   MI0020283  bna-MIR395a
MI   MI0018644  gma-MIR395c
MI   MI0018227  bdi-MIR395n
MI   MI0018226  bdi-MIR395l
MI   MI0018224  bdi-MIR395j
MI   MI0018223  bdi-MIR395h
MI   MI0018222  bdi-MIR395g
MI   MI0018220  bdi-MIR395e
MI   MI0018219  bdi-MIR395m
MI   MI0018127  bdi-MIR395c
MI   MI0018088  bdi-MIR395b
MI   MI0018081  bdi-MIR395a
MI   MI0017510  tcc-MIR395b
MI   MI0017509  tcc-MIR395a
MI   MI0016705  csi-MIR395
MI   MI0016464  tae-MIR395b
MI   MI0016463  tae-MIR395a
MI   MI0014634  aly-MIR395g
MI   MI0014579  aly-MIR395e
MI   MI0014578  aly-MIR395d
